fichier,type_page1,faisabilite,detail
Ressources/PLU bioclimatique/Annexes/Addenda/ANNAD1_2025_12_19.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=4, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Addenda/ANNAD2.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Addenda/ANNAD3.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=3, max_size=28.0, median_size=28.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Addenda/ANNAD4.pdf,couverture / page de titre (linéaire),"INCERTAIN — peu de spans mais pas de taille de police clairement dominante, à vérifier au cas par cas","n_spans=5, max_size=26.0, median_size=26.0, image_area_ratio=0.00"
Ressources/PLU bioclimatique/Annexes/Plans SUP/ASUP1_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (4.4pt vs médiane 2.8pt) détecté en haut de page (candidat: 'MARGUERITE') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=60246, image_area_ratio=0.06, n_outliers_top=881"
Ressources/PLU bioclimatique/Annexes/Plans SUP/ASUP2AD5.pdf,planche graphique (carte/plan) avec encart texte,"INCERTAIN — aucun span nettement plus grand détecté en haut de page ; cas potentiellement proche de ASUP2AD5 (labels de carte uniquement, pas de cartouche titre repérable par la taille de police)","n_spans=200, image_area_ratio=1.00"
Ressources/PLU bioclimatique/Annexes/Plans SUP/ASUP2D3.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (4.8pt vs médiane 2.9pt) détecté en haut de page (candidat: 'VICTOR') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=59812, image_area_ratio=0.06, n_outliers_top=785"
Ressources/PLU bioclimatique/Annexes/Plans SUP/ASUP2E.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (4.8pt vs médiane 2.9pt) détecté en haut de page (candidat: 'VICTOR') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=59999, image_area_ratio=0.06, n_outliers_top=820"
Ressources/PLU bioclimatique/Annexes/Plans SUP/ASUP4_2025_12_19.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (4.8pt vs médiane 3.0pt) détecté en haut de page (candidat: 'VICTOR') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=62187, image_area_ratio=0.06, n_outliers_top=817"
Ressources/PLU bioclimatique/Annexes/Plans SUP/ASUPBOIS.pdf,planche graphique (carte/plan) avec encart texte,"PROBABLE — span de taille nettement supérieure à la médiane (15.8pt vs médiane 3.4pt) détecté en haut de page (candidat: 'mise à jour du ?? novembre 2023') ; à confirmer par détection de cadre vectoriel (get_drawings, non exécutée ici)","n_spans=11727, image_area_ratio=0.06, n_outliers_top=538"
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/ALEA1910.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/BOREUX.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/ENJEUX.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI12.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI1234_11.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI13.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI15.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
Ressources/PLU bioclimatique/Annexes/Plans SUP/PPRI/PPRI16.pdf,aucun texte exploitable (image/scan pur),NON — pas de span texte sur la page,image_area_ratio=1.00
