filename,relative_path,metadata_title,visual_title,toc_root_title,toc_source,n_levels,n_entries,error
ANNAD1_2025_12_19.pdf,Annexes\Addenda\ANNAD1_2025_12_19.pdf,ADDE2025.odt,Informations complémentaires Liste des immeubles et lots de biens immobiliers soumis au droit de préemption urbain renforcé (D.P.U.R.),"titre des équipements, ouvrages publics, installations d’intérêt général et",text_parsed,1,39,
ANNAD2.pdf,Annexes\Addenda\ANNAD2.pdf,ANNEXES PLU - maj 2007,Informations complémentaires Mesures d’archéologie préventive,Addenda Informations complémentaires,native,2,2,
ANNAD3.pdf,Annexes\Addenda\ANNAD3.pdf,ANNEXES PLU - maj 2007,Informations complémentaires Prévention et réglementation contre les termites,Addenda Informations complémentaires,native,2,2,
ANNAD4.pdf,Annexes\Addenda\ANNAD4.pdf,ANNEXES PLU - maj 2007,Informations complémentaires Prescriptions d'isolement acoustique dans les secteurs affectés par le bruit,: -,native,2,11,
A15152_01A04_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_01A04_2025_12_19.pdf,,VII VII VIII VIII V VI VI XI XI I IV IV X III III II II,,none,0,0,
A15152_05_06_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_05_06_2025_12_19.pdf,,V VI VI IV IV XIV XIV VII VII I XIII XIII XV XV,,none,0,0,
A15152_07_08_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_07_08_2025_12_19.pdf,,VII VII II II I VI VI IX IX XVII XVII VIII VIII VII VII XVI XVI,,none,0,0,
A15152_09_10_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_09_10_2025_12_19.pdf,,II II III III X I XI XI IX IX XVII XVII XVIII XVIII XIX XIX VIII VIII,,none,0,0,
A15152_11_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_11_2025_12_19.pdf,,XI XI XII XII III III IV IV IV IV XX XX X,,none,0,0,
A15152_12_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_12_2025_12_19.pdf,,XII XII IV IV XIII XIII IV IV XI XI XIII XIII XX XX V,,none,0,0,
A15152_13_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_13_2025_12_19.pdf,,V XIV XIV XIII XIII XII XII,,none,0,0,
A15152_14_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_14_2025_12_19.pdf,,VI VI XIV XIV XIII XIII VII VII XV XV,,none,0,0,
A15152_15_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_15_2025_12_19.pdf,,XIV XIV VII VII XV XV XVI XVI,,none,0,0,
A15152_16_2025_12_19.pdf,Annexes\Plans autres périmètres\A15152_16_2025_12_19.pdf,,XV XV XVII XVII XVI XVI VII VII VIII VIII,,none,0,0,
